,Made Donation in March 2007
659,0.67075697
276,0.75827304
263,0.94401012
303,0.83129604
83,0.53399536
500,0.68360679
530,0.75050428
244,0.95553608
249,0.94777416
728,0.90560327
129,0.87628807
534,0.8393184
317,0.88771812
401,0.94401012
696,0.56338577
192,0.93348403
176,0.79273445
571,0.87557422
139,0.78882997
423,0.52108662
563,0.6606378
56,0.52071817
528,0.76053025
101,0.94401012
467,0.81013952
382,0.8087624
466,0.74163784
294,0.95553608
512,0.87423589
659,0.67075697
389,0.71250093
487,0.79792471
701,0.87924225
419,0.71958224
536,0.89553328
240,0.72194099
508,0.84994353
515,0.95553608
283,0.50581517
650,0.94401012
65,0.7175444
228,0.73779601
741,0.8577472
297,0.54256408
464,0.89692446
63,0.87924225
231,0.54397466
28,0.90137063
248,0.95553608
357,0.79424807
300,0.6261856
726,0.79403749
680,0.81293832
520,0.54674162
254,0.93568389
582,0.8824386
143,0.78795534
98,0.52438879
1,0.53137784
221,0.51756963
352,0.94401012
64,0.93551764
138,0.78607142
745,0.73503467
64,0.93551764
688,0.92320661
623,0.91972274
289,0.78573687
174,0.96312782
690,0.94401012
105,0.76060756
427,0.81293832
48,0.97633607
14,0.94401012
657,0.88329201
301,0.8393184
455,0.89406777
579,0.76657355
722,0.79968211
98,0.52438879
491,0.97633607
303,0.83129604
466,0.74163784
65,0.7175444
300,0.6261856
9,0.92454907
622,0.93348403
323,0.92320661
289,0.78573687
568,0.52228865
290,0.94401012
156,0.86455434
464,0.89692446
426,0.88956978
306,0.80919937
4,0.80907382
12,0.54198952
187,0.79977923
406,0.85978022
96,0.75050428
509,0.87924225
733,0.81515528
548,0.90137063
478,0.80707711
501,0.89792992
127,0.61489306
199,0.78573687
299,0.62255436
162,0.94401012
235,0.82589162
23,0.90255955
473,0.94401012
487,0.79792471
683,0.50767896
303,0.83129604
309,0.90996217
569,0.97015681
34,0.53668667
686,0.56295468
84,0.90863793
733,0.81515528
537,0.58421803
181,0.79080235
453,0.55775581
67,0.64107918
161,0.53781068
307,0.61784683
703,0.86512681
181,0.79080235
246,0.91758806
316,0.5183553
278,0.93348403
346,0.86439496
545,0.94401012
419,0.71958224
694,0.75050428
622,0.93348403
663,0.92336145
262,0.57459893
461,0.68018294
373,0.50263683
233,0.94401012
466,0.74163784
207,0.78795534
263,0.94401012
16,0.97015681
513,0.90137063
449,0.50561635
429,0.92423815
701,0.87924225
632,0.9408402
529,0.52088539
245,0.82737396
344,0.76945517
353,0.83000684
241,0.84502225
633,0.95553608
624,0.87924225
726,0.79403749
189,0.93348403
138,0.78607142
402,0.95553608
511,0.53010989
590,0.8482989
334,0.80714451
447,0.90996217
119,0.74163784
389,0.71250093
644,0.94401012
423,0.52108662
131,0.97015681
405,0.94916226
82,0.94401012
643,0.54877637
156,0.86455434
617,0.90137063
574,0.70548257
272,0.68018294
613,0.95497549
545,0.94401012
685,0.95553608
570,0.78706259
537,0.58421803
691,0.95553608
85,0.52963747
483,0.91758806
455,0.89406777
93,0.93348403
744,0.87924225
33,0.91758806
321,0.50553638
523,0.88459554
426,0.88956978
196,0.92956938
301,0.8393184
103,0.95553608
224,0.93100388
454,0.87427491
585,0.92956938
154,0.71289669
