,Made Donation in March 2007
659,0.6
276,0.2
263,0.1
303,0.2
83,0.2
500,0.1
530,0.3
244,0.1
249,0.3
728,0.2
129,0.3
534,0.2
317,0.2
401,0.1
696,0.2
192,0.1
176,0.2
571,0.2
139,0.2
423,0.1
563,0.6
56,0.2
528,0.2
101,0.1
467,0.7
382,0.2
466,0.4
294,0.1
512,0.3
659,0.6
389,0.2
487,0.2
701,0.75
419,0.2
536,0.3
240,0.2
508,0.4
515,0.1
283,0.2
650,0.1
65,0.4
228,0.2
741,0.2
297,0.6
464,0.3
63,0.75
231,0.2
28,0.3
248,0.1
357,0.2
300,0.6
726,0.2
680,0.2
520,0.2
254,0.3
582,0.2
143,0.6
98,0.2
1,0.6
221,0.6
352,0.1
64,0.3
138,0.2
745,0.6
64,0.3
688,0.3
623,0.2
289,0.2
174,0.2
690,0.1
105,0.2
427,0.2
48,0.1
14,0.1
657,0.2
301,0.2
455,0.3
579,0.2
722,0.2
98,0.2
491,0.1
303,0.2
466,0.4
65,0.4
300,0.6
9,0.1
622,0.1
323,0.3
289,0.2
568,0.6
290,0.1
156,0.3
464,0.3
426,0.3
306,0.2
4,0.2
12,0.2
187,0.2
406,0.2
96,0.3
509,0.75
733,0.2
548,0.3
478,0.2
501,0.3
127,0.6
199,0.2
299,0.6
162,0.1
235,0.3
23,0.3
473,0.1
487,0.2
683,0.2
303,0.2
309,0.3
569,0.1
34,0.2
686,0.2
84,0.4
733,0.2
537,0.2
181,0.2
453,0.3
67,0.6
161,0.6
307,0.2
703,0.3
181,0.2
246,0.3
316,0.1
278,0.1
346,0.3
545,0.1
419,0.2
694,0.3
622,0.1
663,0.3
262,0.6
461,0.6
373,0.6
233,0.1
466,0.4
207,0.6
263,0.1
16,0.1
513,0.3
449,0.2
429,0.3
701,0.75
632,0.3
529,0.6
245,0.2
344,0.2
353,0.3
241,0.2
633,0.1
624,0.75
726,0.2
189,0.1
138,0.2
402,0.1
511,0.2
590,0.2
334,0.7
447,0.3
119,0.4
389,0.2
644,0.1
423,0.1
131,0.1
405,0.1
82,0.1
643,0.6
156,0.3
617,0.3
574,0.7
272,0.6
613,0.3
545,0.1
685,0.1
570,0.2
537,0.2
691,0.1
85,0.2
483,0.3
455,0.3
93,0.1
744,0.75
33,0.3
321,0.2
523,0.3
426,0.3
196,0.3
301,0.2
103,0.1
224,0.3
454,0.2
585,0.3
154,0.2
