,Made Donation in March 2007
659,0.888012021
276,0.000000871
263,0.136746154
303,0.144100968
83,0.872930445
500,0.999995053
530,0.128352803
244,0.000896449
249,0.000000011
728,0.000778143
129,0.001960718
534,0.016500861
317,0.638032487
401,0.136746154
696,0.159587736
192,0.008651742
176,0.014499559
571,0.937184780
139,0.000002111
423,0.181699977
563,0.336344251
56,0.224059739
528,0.242651939
101,0.136746154
467,0.179892616
382,0.940257854
466,0.166875050
294,0.000896449
512,0.142470064
659,0.888012021
389,0.951458862
487,0.000000026
701,0.163295413
419,0.256323610
536,0.145745000
240,0.020114105
508,0.177317323
515,0.000896449
283,0.224022557
650,0.136746154
65,0.156849274
228,0.000227058
741,0.000133204
297,0.220944807
464,0.000898012
63,0.163295413
231,0.151586537
28,0.000895763
248,0.000896449
357,0.001154985
300,0.976278780
726,0.999999908
680,0.000964231
520,0.222407232
254,0.000000022
582,0.027429186
143,0.243987490
98,0.170806377
1,0.194139529
221,0.990021315
352,0.136746154
64,0.008744235
138,0.641592572
745,0.926735065
64,0.008744235
688,0.000136185
623,0.024578810
289,0.000489945
174,0.410001918
690,0.136746154
105,0.011403885
427,0.000147946
48,0.000000000
14,0.136746154
657,0.000000022
301,0.016059203
455,0.000895571
579,0.674182830
722,0.000150280
98,0.170806377
491,0.000000000
303,0.144100968
466,0.166875050
65,0.156849274
300,0.976278780
9,0.000000399
622,0.008651742
323,0.000135883
289,0.000489945
568,0.193479596
290,0.136746154
156,0.137000782
464,0.000898012
426,0.000129726
306,0.002564490
4,0.142285814
12,0.181946397
187,0.231925300
406,0.000000062
96,0.128352803
509,0.163295413
733,0.012549196
548,0.000000382
478,0.086804842
501,0.008370089
127,0.180410371
199,0.251460980
299,0.672379535
162,0.136746154
235,0.000134452
23,0.027031040
473,0.136746154
487,0.000000026
683,0.375915629
303,0.144100968
309,0.000000021
569,0.000000024
34,0.286035620
686,0.996438704
84,0.177813652
733,0.012549196
537,0.494250548
181,0.009675514
453,0.999999998
67,0.666867408
161,0.995231180
307,0.216655856
703,0.008047412
181,0.009675514
246,0.000833376
316,0.207043318
278,0.008651742
346,0.008370637
545,0.136746154
419,0.256323610
694,0.128352803
622,0.008651742
663,0.005780665
262,0.951227812
461,0.767470227
373,1.000000000
233,0.136746154
466,0.166875050
207,0.243987490
263,0.136746154
16,0.000000024
513,0.000000022
449,0.184289096
429,0.000000018
701,0.163295413
632,0.000000373
529,0.549204818
245,0.047912183
344,0.000224124
353,0.000133094
241,0.945485197
633,0.000139552
624,0.163295413
726,0.999999908
189,0.008651742
138,0.641592572
402,0.000896449
511,0.221716440
590,0.135790985
334,0.168041833
447,0.000127895
119,0.166875050
389,0.951458862
644,0.136746154
423,0.181699977
131,0.000000024
405,0.000000000
82,0.136746154
643,1.000000000
156,0.137000782
617,0.000000380
574,0.165239510
272,0.782372139
613,0.008057418
545,0.136746154
685,0.000896449
570,0.011427953
537,0.494250548
691,0.000139552
85,0.995126941
483,0.000833376
455,0.000895571
93,0.008651742
744,0.163295413
33,0.000833376
321,0.999999716
523,0.094842947
426,0.000129726
196,0.000890424
301,0.016059203
103,0.000139552
224,0.000000374
454,0.000000074
585,0.000000022
154,0.724991943
